Escalopes végétales panées,Délicieuse panée tomate basilic vegan 2x90g
Falafels,Falafel (15) 250g
Galette végétale (céréales),galette végétarien céréalpes
Jambon végétal,Jambon végétal
Knax végétales,Végé Knaxxies (3) 150g
Nuggets végétaux,Savoureux petits panés vegan (6) 170g
Saucisses végétales,Soyciss'fumées (4) 160g
Steak végétal,Végé'hachés (2) 200g
Steak végétal,Falafel burger patate douce curcuma 2x100g
Blé complet,Boulgour blé complet 400g
Avoine (flocons),Flocons d'avoine petits Bio
Avoine (flocons),Petits flocons d'avoine sans gluten 500g
Avoine (flocons),Flocons d'avoine 500g
Avoine (flocons),Flocons d'avoine gros sans gluten 500g
Quinoa,Quinoa France 500g
Quinoa,Trio quinoa 500g
Sarrasin,Graines de sarrasin décortiquées 400g
Sarrasin,Sarrasin décortiqué Bio
Sarrasin,Sarrasin grillé kasha Bio
Seigle,Flocons de seigle 400g
Seitan,Seitan
Flageolets,Flageolets verts 500g
Flageolets (conserve),Flageolets verts égoutté
Haricots blancs,Haricots blancs lingots 500g
Haricots blancs (conserve),Haricots blancs 280g net égoutté
Haricots rouges,Haricots rouges France
Haricots rouges (conserve),haricots rouges égoutté
Lentilles blondes,Lentilles blondes
Lentilles corail,Lentilles corail 500g
Lentilles vertes,Lentilles vertes 500g
Lentilles vertes (conserve),Lentilles vertes égoutté
Pois cassés,Pois cassés France 500g
Pois chiches,Pois chiche 500g
Pois chiches (conserve),Pois chiches net égoutté
Amandes,Amandes Complètes Bio vrac 50
Beurre de cacahuète,Beurre de cacahuètes 250g
Beurre de cacahuète,Beurre de cacahuètes 270g
Beurre de cacahuète,Beurre de cacahuètes 500g
Graines de chia,Graine de chia noire France 250g
Graines de chia,Graines de Chia Noire Bio
Graines de courge,Graine de courge France 250g
Graines de lin,Graine de lin doré Bio
Graines de tournesol,Tournesol décortiqué Bio
Graines de tournesol,Tournesol décortiqué 250g
Noisettes,noisettes vrac 50 biosic
Noix de cajou,Noix de cajou grillée vrac
Pignons de pin,Pignon de pin Espagne 125g
Pistaches,Pistaches décortiquées
Pistaches,Pistaches Coques Grillées Salées Bio
Brie,Brie
Bûche de chèvre,Bûche de chèvre 150g
Camembert,Camembert 20%MG 250g
Comté,Comté AOP affinage 4/8 mois 34% MG portion 200g
Coulommiers,Coulommiers
Emmental,emmental râpé
Feta, Feta 150g
Fromage blanc nature,fromage blanc tante hélène
Lait demi écrémé,Lait 1/2 écrémé
Lait entier,Lait entier stérilisé UHT 1L
Mozzarella,Mozzarella râpée 150g
Mozzarella,Mozzarella sans lactose 100g
Mozzarella,Mozzarella di bufala campana DOP 125g
Mozzarella,Mozzarella mini 150g
Œufs,Boîte Oeufs frais
Parmesan rapé,Parmigiano Reggiano DOP râpé
Petits‑suisses,Petits suisses
Roquefort,Roquefort AOP au lait de brebis cru 100g
Skyr,skyr vache
Yaourt nature 0%,Yaourt nature 0% lait de brebis 2x125g
Anchois,Anchois filets mariné ail 150g
Colin pané,Fish and chips - aiguillettes colin 200g
Crevettes entières,crevettes 100g
Maquereau (conserve),Maquereaux égoutté
Maquereau (conserve),Maquereaux 151g
Maquereau frais,Maquereaux filets thym citron
Maquereau frais,Maquereaux fumé nature (2) 170g
Sardines (conserve),Sardines 135g
Pavé de saumon,Pavé de saumon
Saumon fumé,Saumon fumé 80g
Saumon fumé,Saumon fumé 4 tranches
Thon (conserve),thon égoutté
Truité fumée,Truite fumée
Barres protéinées,barres protéinées biofair
Isolat de whey,Protéine lactosérum caramel 200g
Protéines végétales poudre,Mix Protéines végétales + collagène 200g
Protéines de soja texturées,Protéines de soja gros
Protéines de soja texturées,Protéines de soja petit 300g
Tempeh,Tempeh d'okara 125g
Tempeh,Tempeh à cuisiner (2) 200g
Tofu (ferme) fumé,Tofou fumé 2x100g
Tofu (ferme) fumé,Tofu lactofermenté paprika fumé 2x100g
Tofu (ferme) nature,Tofu lactofermenté nature 200g
Tofu (ferme) nature,Tofu nature 500g
Aiguillettes de dinde,Émincé de dinde
Chipolatas,Chipolatas
Cordon bleu,Cordon bleu de volaille
Côtes de porc,côtes de porc
Cuisse de poulet,Cuisse de poulet 280
Escalopes de dinde,Filet de dinde
Escalope de veau,Escalope de veau
Filet mignon de porc,Filet mignon de porc
Jambon blanc,Jambon blanc basilic
Jambon blanc,jambon supérieur ss sel
Jambon cru,Jambon de Parme DOP
Lardons,Lardons fumés
Lardons,Lardons nature s/sel
Merguez,Merguez
Nuggets,Nuggets de volaille
Poitrine fumée / bacon,Bacon
Poulet fermier,Poulet jaune
Filet de poulet,Filet de poulet
Rillettes,rillettes porc
Rôti de porc,Rôti porc nature
Saucisson sec,saucisson 160g
Saucisson sec,saucisson 200g
Sauté de veau,sauté de veau
Steak haché boeuf,Steak haché boeuf
