Filet de poulet,filets de poulet 5 à 10
Cuisse de poulet,cuisse poulet 5 à 7
Nuggets,Nuggets poulet
Cordon bleu,Cordons bleus
Escalopes de dinde,escalopes dinde
Steak haché boeuf,steak haché
Tournedos boeuf,tournedos
Entrecôte boeuf,entrecôte
Escalope de veau,escalope veau
Sauté de veau,sauté de veau
Magret de canard,Magret de canard
Confit de canard,Confit de canard
Côtes de porc,côtes de porc
Gigot d'agneau,gigot d'agneau
Thon frais,tranches thon
Pavé de saumon,pavé saumon
Saumon fumé,tranches Saumon fumé
Truité fumée,Truité fumée
Dos de cabillaud,dos cabillaud
Filet de limande,limande
Maquereau frais,filets maquereau 600
Colin pané,portions colin pané
Colin pané,batonnets colin pané
Colin pané,croquettes colin pané
Crevettes entières,Crevettes décortiquées
Anchois,Anchois tempura
Noix de saint-jacques,Noix de saint-jacques sans corail
Noix de saint-jacques,Noix de saint-jacques avec corail
Lentilles vertes (conserve),Lentilles vertes cuites
Pois chiches (conserve),Pois chiches bio france
Flageolets (conserve),Flageolets
Haricots blancs (conserve),mogette de vendée
Pignons de pin,Noix de cajou grillée vrac
Noix de cajou,Noix de cajou sel
Amandes,Amandes grillées
Pistaches,Pistaches grillées
Cacahuètes,Cacahuètes grillées
Steak végétal surgelé,galette végétale
Nuggets végétaux (surgelé),nuggets végétal
Boulettes végétales (surgelé),Boulettes végétariennes
Galette végétale (céréales) (surgelé),Galettes végétales
